lnr_id,name,team,matches_verified,starter_rate,form_window,form_tackles_per80,form_line_breaks_per80,form_offloads_per80,form_turnovers_per80
11736,Joseph MARCHANT,Stade Français Paris,14,0.643,5,6.95,0.51,0.0,0.0
2492,Joshua BRENNAN,Stade Toulousain,11,0.455,5,11.39,0.0,0.58,0.0
1102,Josua TUISOVA,Racing 92,14,0.643,5,8.99,0.29,1.16,0.58
1351,Josua VICI,US Montauban,14,0.929,5,4.0,0.63,0.84,0.84
13790,Jovan SRECKOVIC,RC Toulon,1,1.0,1,6.15,0.0,0.0,0.0
2290,Jules COULON,RC Toulon,10,0.4,5,7.71,0.0,0.0,0.32
1018,Jules FAVRE,Stade Rochelais,15,0.867,5,6.11,1.27,0.0,0.25
2445,Julien MARCHAND,Stade Toulousain,7,0.286,5,11.78,0.0,1.92,0.27
13817,Justo PICCARDO,Montpellier Hérault Rugby,9,0.667,5,10.24,0.0,0.0,0.0
2391,K. ALAINUUESE,RC Toulon,20,0.2,5,14.52,0.0,0.65,0.0
1375,K. MARTIN,Montpellier Hérault Rugby,2,0.0,2,8.08,0.0,0.0,0.0
2432,Kalvin GOURGUES,Stade Toulousain,12,0.667,5,4.01,1.07,1.61,0.0
360,Kane DOUGLAS,Stade Rochelais,9,0.222,5,8.46,0.0,0.33,0.33
1030,Karl SORIN,Stade Rochelais,10,0.1,5,8.59,0.0,0.39,0.0
10149,Karl WILKINS,US Montauban,13,0.385,5,9.45,0.0,0.0,0.63
1322,Kevin FIRMIN,US Montauban,12,0.083,5,10.14,0.38,0.0,0.0
2282,Kieran BROOKES,USA Perpignan,15,0.2,5,7.24,0.0,0.0,0.0
1105,Killian GERACI,LOU Rugby,10,0.3,5,18.29,0.0,0.0,0.0
11554,Killian TIXERONT,ASM Clermont,16,0.625,5,14.21,0.0,0.37,0.0
13500,Kirill FRAINDT,Stade Rochelais,7,0.429,5,4.68,0.72,0.0,0.0
12366,Kleo LABARBE,Racing 92,6,0.167,5,7.55,0.0,0.38,0.0
1793,Kylan HAMDAOUI,ASM Clermont,12,0.75,5,3.4,1.54,1.24,0.31
12566,Kyle SINCKLER,RC Toulon,15,0.133,5,10.92,0.0,0.0,0.0
1284,Kyllian RINGUET,US Montauban,14,0.643,5,15.3,0.5,0.5,0.25
1052,L. ALLEN,LOU Rugby,9,0.444,5,24.31,0.0,0.0,1.77
12674,L. ANDJISSERAMATCHI,Stade Rochelais,10,0.0,5,10.43,0.0,0.0,0.87
277,L. BIELLE-BIARREY,Union Bordeaux-Bègles,10,0.8,5,2.3,2.3,1.02,0.0
1960,L. BOYER GALLARDO,USA Perpignan,0,0.0,0,,,,
461,L. CARBONNEAU,Racing 92,16,0.812,5,5.2,0.0,0.0,0.22
585,L. CHILACHAVA,Castres Olympique,7,0.0,5,6.56,0.0,0.66,0.0
2709,L. DARRICARRERE,ASM Clermont,10,0.9,5,5.63,0.47,1.17,0.0
1457,L. FOURSANS BOURDETTE,Stade Français Paris,1,1.0,1,9.0,1.0,0.0,0.0
560,L. GUEROIS GALISSON,Castres Olympique,17,0.118,5,17.33,0.0,0.0,0.0
317,L. KAULASHVILI,Section Paloise,10,0.1,5,8.0,0.0,0.0,0.0
2008,L. LAM,ASM Clermont,3,0.0,3,5.88,0.0,0.0,0.0
1824,L. LATU,Stade Rochelais,12,0.167,5,5.14,0.32,1.29,0.0
12565,L. LEOTA,Racing 92,1,0.0,1,8.7,0.0,0.0,0.0
12567,L. LUDLAM,RC Toulon,18,0.778,5,10.93,0.0,0.23,0.0
